row ID,row m/z,row retention time,26C sample 1 Peak status,26C sample 1 Peak name,26C sample 1 Peak m/z,26C sample 1 Peak RT,
1,100.0852279663086,2.919425,DETECTED,100.085 m/z @2.9 [26C sample 1],100.0852279663086,2.919425,
2,100.11190032958984,3.1312450000000003,DETECTED,100.112 m/z @3.1 [26C sample 1],100.11190032958984,3.1312450000000003,
3,101.05962371826172,2.980426666666667,DETECTED,101.060 m/z @3.0 [26C sample 1],101.05962371826172,2.980426666666667,
4,101.07084655761719,11.893081666666667,DETECTED,101.071 m/z @11.9 [26C sample 1],101.07084655761719,11.893081666666667,
5,102.05481719970703,11.440411666666666,DETECTED,102.055 m/z @11.4 [26C sample 1],102.05481719970703,11.440411666666666,
6,102.06604766845703,16.204745000000003,DETECTED,102.066 m/z @16.2 [26C sample 1],102.06604766845703,16.204745000000003,
7,102.08522033691406,2.8982466666666666,DETECTED,102.085 m/z @2.9 [26C sample 1],102.08522033691406,2.8982466666666666,
8,103.03887176513672,10.00508,DETECTED,103.039 m/z @10.0 [26C sample 1],103.03887176513672,10.00508,
9,103.05803680419922,11.352245,DETECTED,103.058 m/z @11.4 [26C sample 1],103.05803680419922,11.352245,
10,104.05271911621094,8.115576666666666,DETECTED,104.053 m/z @8.1 [26C sample 1],104.05271911621094,8.115576666666666,
11,104.07048034667969,10.263078333333333,DETECTED,104.070 m/z @10.3 [26C sample 1],104.07048034667969,10.263078333333333,
12,104.10688018798828,11.621248333333334,DETECTED,104.107 m/z @11.6 [26C sample 1],104.10688018798828,11.621248333333334,
13,105.06991577148438,3.0249149999999996,DETECTED,105.070 m/z @3.0 [26C sample 1],105.06991577148438,3.0249149999999996,
14,105.11022186279297,11.64325,DETECTED,105.110 m/z @11.6 [26C sample 1],105.11022186279297,11.64325,
15,106.0498275756836,12.370755,DETECTED,106.050 m/z @12.4 [26C sample 1],106.0498275756836,12.370755,
16,106.08624267578125,3.1525783333333335,DETECTED,106.086 m/z @3.2 [26C sample 1],106.08624267578125,3.1525783333333335,
17,106.97154998779297,29.83841333333333,DETECTED,106.972 m/z @29.8 [26C sample 1],106.97154998779297,29.83841333333333,
18,107.04911804199219,6.665916666666667,DETECTED,107.049 m/z @6.7 [26C sample 1],107.04911804199219,6.665916666666667,
19,107.0701904296875,4.146748333333333,DETECTED,107.070 m/z @4.1 [26C sample 1],107.0701904296875,4.146748333333333,
20,108.06828308105469,20.013579999999997,DETECTED,108.068 m/z @20.0 [26C sample 1],108.06828308105469,20.013579999999997,
21,109.0284652709961,12.973581666666666,DETECTED,109.028 m/z @13.0 [26C sample 1],109.0284652709961,12.973581666666666,
22,109.0651626586914,3.23842,DETECTED,109.065 m/z @3.2 [26C sample 1],109.0651626586914,3.23842,
23,109.0759048461914,19.454413333333335,DETECTED,109.076 m/z @19.5 [26C sample 1],109.0759048461914,19.454413333333335,
24,109.97726440429688,2.9404116666666664,DETECTED,109.977 m/z @2.9 [26C sample 1],109.97726440429688,2.9404116666666664,
25,109.99043273925781,11.396245,DETECTED,109.990 m/z @11.4 [26C sample 1],109.99043273925781,11.396245,
26,110.07118225097656,11.307421666666666,DETECTED,110.071 m/z @11.3 [26C sample 1],110.07118225097656,11.307421666666666,
27,111.05526733398438,8.64592,DETECTED,111.055 m/z @8.6 [26C sample 1],111.05526733398438,8.64592,
28,111.0744400024414,11.193751666666666,DETECTED,111.074 m/z @11.2 [26C sample 1],111.0744400024414,11.193751666666666,
29,111.08808135986328,3.3237449999999997,DETECTED,111.088 m/z @3.3 [26C sample 1],111.08808135986328,3.3237449999999997,
30,111.11682891845703,2.770078333333333,DETECTED,111.117 m/z @2.8 [26C sample 1],111.11682891845703,2.770078333333333,
31,112.05050659179688,7.673081666666667,DETECTED,112.051 m/z @7.7 [26C sample 1],112.05050659179688,7.673081666666667,
32,112.07561492919922,8.036246666666665,DETECTED,112.076 m/z @8.0 [26C sample 1],112.07561492919922,8.036246666666665,
33,112.08694458007812,22.833078333333333,DETECTED,112.087 m/z @22.8 [26C sample 1],112.08694458007812,22.833078333333333,
34,113.05982971191406,3.6274116666666667,DETECTED,113.060 m/z @3.6 [26C sample 1],113.05982971191406,3.6274116666666667,
35,113.0709457397461,12.758748333333333,DETECTED,113.071 m/z @12.8 [26C sample 1],113.0709457397461,12.758748333333333,
36,114.05496978759766,9.669411666666667,DETECTED,114.055 m/z @9.7 [26C sample 1],114.05496978759766,9.669411666666667,
37,114.07422637939453,12.734245,DETECTED,114.074 m/z @12.7 [26C sample 1],114.07422637939453,12.734245,
38,114.09134674072266,3.1312450000000003,DETECTED,114.091 m/z @3.1 [26C sample 1],114.09134674072266,3.1312450000000003,
39,114.10259246826172,22.92657833333333,DETECTED,114.103 m/z @22.9 [26C sample 1],114.10259246826172,22.92657833333333,
40,115.03898620605469,10.027923333333336,DETECTED,115.039 m/z @10.0 [26C sample 1],115.03898620605469,10.027923333333336,
41,115.05606842041016,4.080080000000001,DETECTED,115.056 m/z @4.1 [26C sample 1],115.05606842041016,4.080080000000001,
42,115.08659362792969,12.300248333333334,DETECTED,115.087 m/z @12.3 [26C sample 1],115.08659362792969,12.300248333333334,
43,115.99583435058594,2.8772533333333334,DETECTED,115.996 m/z @2.9 [26C sample 1],115.99583435058594,2.8772533333333334,
44,116.03414154052734,11.801078333333333,DETECTED,116.034 m/z @11.8 [26C sample 1],116.03414154052734,11.801078333333333,
45,116.07048797607422,22.786076666666666,DETECTED,116.070 m/z @22.8 [26C sample 1],116.07048797607422,22.786076666666666,
