masses mz, masses intensity,,masses calibrated mz, masses calibrated intensity,,mz change,ppm change,ppm change reverse,,,,masses mz, masses intensity,,masses calibrated mz, masses calibrated intensity,,change
100.075889587402,4261.2568359375,,100.075630187988,4261.2568359375,,-0.000259399414063,-2.5920270619823,-2.59203378060401,,,,100.075874328613,2821.50512695312,,100.075614929199,2821.50512695312,,-0.000259399414063
100.112197875977,1188.13781738281,,100.111930847168,1188.13781738281,,-0.000267028808594,-2.66729543711104,-2.66730255159497,,,,100.112319946289,1019.42242431641,,100.11205291748,1019.42242431641,,-0.000267028808594
101.059959411621,2801.5927734375,,101.059692382813,2801.5927734375,,-0.000267028808594,-2.64228098000843,-2.64228796167565,,,,104.070808410645,3282.05102539063,,104.070533752441,3282.05102539063,,-0.000274658203125
102.091438293457,1256.12731933594,,102.091171264648,1256.12731933594,,-0.000267028808594,-2.6155847449831,-2.61559158628455,,,,119.049430847168,1464.42883300781,,119.049118041992,1464.42883300781,,-0.000312805175781
104.070793151855,5215.7607421875,,104.070518493652,5215.7607421875,,-0.000274658203125,-2.63914778399191,-2.63915474911132,,,,128.953872680664,2336.98950195312,,128.953536987305,2336.98950195312,,-0.000335693359375
107.070487976074,2376.2255859375,,107.070205688477,2376.2255859375,,-0.000282287597656,-2.6364650333837,-2.6364719843499,,,,130.086563110352,2669.92236328125,,130.086227416992,2669.92236328125,,-0.000335693359375
114.091598510742,1290.24438476563,,114.091300964355,1290.24438476563,,-0.000297546386719,-2.60796053874848,-2.60796734022439,,,,130.159317016602,41116.1328125,,130.158981323242,41116.1328125,,-0.000335693359375
117.091163635254,1019.46618652344,,117.090858459473,1019.46618652344,,-0.00030517578125,-2.60630923611487,-2.60631602898041,,,,131.162506103516,3847.90893554687,,131.162155151367,3847.90893554687,,-0.000350952148438
119.049278259277,1170.7353515625,,119.048965454102,1170.7353515625,,-0.000312805175781,-2.62752685572769,-2.62753375964321,,,,136.022003173828,1358.73083496094,,136.02165222168,1358.73083496094,,-0.000350952148438
128.953842163086,3648.57470703125,,128.953506469727,3648.57470703125,,-0.000335693359375,-2.60320556366559,-2.60321234036244,,,,144.982574462891,2840.78515625,,144.982192993164,2840.78515625,,-0.000381469726563
130.086563110352,4249.1728515625,,130.086227416992,4249.1728515625,,-0.000335693359375,-2.58053830732874,-2.58054496652388,,,,146.980697631836,1033.14672851563,,146.980316162109,1033.14672851563,,-0.000381469726563
130.159317016602,55640.28515625,,130.158981323242,55640.28515625,,-0.000335693359375,-2.57909588855774,-2.57910254031049,,,,149.023712158203,36738.703125,,149.023315429688,36738.703125,,-0.000396728515625
131.162612915039,4532.6513671875,,131.162261962891,4532.6513671875,,-0.000350952148438,-2.67570263078573,-2.67570979018945,,,,150.026870727539,1179.56628417969,,150.026473999023,1179.56628417969,,-0.000396728515625
133.086288452148,1670.09948730469,,133.0859375,1670.09948730469,,-0.000350952148438,-2.63702709361893,-2.63703404754916,,,,151.096786499023,25525.181640625,,151.096389770508,25525.181640625,,-0.000396728515625
142.122970581055,1199.73876953125,,142.122604370117,1199.73876953125,,-0.0003662109375,-2.57671885130733,-2.57672549080447,,,,152.100204467773,1839.88232421875,,152.099807739258,1839.88232421875,,-0.000396728515625
144.982513427734,6427.63037109375,,144.982131958008,6427.63037109375,,-0.000381469726563,-2.63114300851627,-2.63114993144802,,,,155.154663085938,1013.48114013672,,155.154251098633,1013.48114013672,,-0.000411987304688
146.98063659668,2727.62280273438,,146.980255126953,2727.62280273438,,-0.000381469726563,-2.59537402609887,-2.59538076208269,,,,158.09684753418,17935.19140625,,158.096435546875,17935.19140625,,-0.000411987304688
149.023681640625,42983.328125,,149.023284912109,42983.328125,,-0.000396728515625,-2.66218436732574,-2.66219145457021,,,,158.154327392578,11938.775390625,,158.153915405273,11938.775390625,,-0.000411987304688
150.027069091797,2976.005859375,,150.026672363281,2976.005859375,,-0.000396728515625,-2.64437956447882,-2.64438655724059,,,,159.100204467773,1960.28991699219,,159.099792480469,1960.28991699219,,-0.000411987304688
151.096771240234,27832.6875,,151.096374511719,27832.6875,,-0.000396728515625,-2.62565845959889,-2.62566535369934,,,,163.133255004883,12407.1630859375,,163.132827758789,12407.1630859375,,-0.00042724609375
152.099945068359,1534.03369140625,,152.099548339844,1534.03369140625,,-0.000396728515625,-2.60834095269854,-2.60834775615881,,,,167.034393310547,4555.13671875,,167.033950805664,4555.13671875,,-0.000442504882813
155.154693603516,2632.42724609375,,155.154281616211,2632.42724609375,,-0.000411987304688,-2.65533252729239,-2.65533957810195,,,,168.946640014648,1060.81848144531,,168.946197509766,1060.81848144531,,-0.000442504882813
158.096786499023,18890.35546875,,158.096374511719,18890.35546875,,-0.000411987304688,-2.60591827203297,-2.6059250628607,,,,171.113357543945,19518.63671875,,171.112915039063,19518.63671875,,-0.000442504882813
158.154312133789,13790.169921875,,158.153900146484,13790.169921875,,-0.000411987304688,-2.60497041863129,-2.60497720451985,,,,171.13850402832,1649.31787109375,,171.138061523438,1649.31787109375,,-0.000442504882813
163.133285522461,12461.3193359375,,163.132858276367,12461.3193359375,,-0.00042724609375,-2.6190001162649,-2.61900697544447,,,,171.149658203125,32869.46484375,,171.149215698242,32869.46484375,,-0.000442504882813
167.03450012207,2671.365234375,,167.034057617188,2671.365234375,,-0.000442504882813,-2.64918254904893,-2.6491895672357,,,,172.116348266602,1584.38562011719,,172.11589050293,1584.38562011719,,-0.000457763671875
